11*9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7h,,,,,,,,,,,
,,,,,,,,,7b,7r,7a,7i,7n,9,9n,9e,12h,12,12,12,12,
,,,,,,7,7,7,7,7,7g,,9,9r,9t,9m,12o,12o,12,12,12,
,,,,,,7,7,7,7,7,7g,8,8o,8y,8,8e,12m,12,12r,12d,12,
,,,,6,6,7,7s,7p,7a,7d,7e,8h,8b,8e,8g,8t,12i,12g,12e,12r,12,
,,,,6,6m,7s,7a,7d,7i,7r,7t,8o,8o,8a,8t,8e,12n,12,12,12a,12o,
,,,,6,6a,6i,10r,10h,10u,20g,20l,20s,20n,20r,2,2o,11i,11,11,11w,11,11r
,,,,6,6m,6m,10c,10a,10i,20i,20e,20i,20e,20s,2w,2r,11d,11o,11d,11o,11,11
,,,,6,6m,6a,10h,10d,10r,0c,0u,0t,20f,20o,2s,2s,1i,1l,1,1,1,
,,,,6,6o,6g,10a,10t,10r,20e,20d,20e,20l,20e,2p,2a,1n,1t,1,1,1,
,,,,6,6t,6e,10e,10d,10i,20n,20o,20s,20a,20u,2r,2x,1,1a,1,1,1,
,,,,6,6h,,10o,10l,10d,20m,,20l,20m,,2e,2x,1t,1i,1n,1c,1t,
,,,,,4s,4c,4l,4a,4w,20s,20e,20l,20e,20r,2a,2,1,1l,1o,1,1,
,,,,,4,4,4o,4,4,3,3,3u,3t,3,3d,3,,,1t,,,
,,,,,4,4,4g,4,4,3,3,3k,3,3l,3i,3z,3a,3r,3d,,,
,,,,,4,4,4y,4,4,3,3,3s,3p,3i,3n,3e,,,,,,
,,,,,4,4,4r,4a,4p,4t,4o,3r,3,3,3g,3,,,,,,
